Latitude,Longitude,Acc_distance,Time
12.916915,77.594543,12375837,07:54:23
12.916869,77.595444,12375963,07:54:33
12.916829,77.596489,12376081,07:54:53
12.916788,77.597565,12376182,07:56:22
12.916787,77.59864,12376313,07:56:42
12.916769,77.599716,12376416,07:57:02
12.916763000000001,77.601265,12376522,07:57:22
12.916745,77.602203,12376671,07:57:32
12.916780000000001,77.60294300000001,12376776,07:57:52
12.916721,77.604355,12376901,07:59:01
12.916714,77.60494200000001,12377004,08:00:11
12.916649000000001,77.605972,12377108,08:01:31
12.916668,77.607475,12377213,08:02:51
12.916644,77.60811600000001,12377321,08:03:11
12.916661,77.60889399999999,12377423,08:07:40
12.916666000000001,77.610069,12377527,08:13:18
12.916602000000001,77.610878,12377629,08:14:08
12.916547,77.612114,12377732,08:16:08
12.916511999999999,77.613411,12377855,08:18:37
12.91655,77.61412,12377959,08:19:26
12.916404,77.615234,12378075,08:21:47
12.916332,77.61618,12378176,08:22:56
12.916292,77.617378,12378301,08:23:46
12.916314999999999,77.618767,12378424,08:24:06
12.916395,77.619759,12378534,08:24:36
12.916749000000001,77.621094,12378643,08:25:06
12.917035,77.62191,12378766,08:25:16
12.917247999999999,77.623024,12378887,08:25:36
12.916571000000001,77.623405,12378992,08:26:15
12.915663,77.623863,12379093,08:28:34
12.914753,77.624374,12379196,08:29:05
12.913807,77.62481700000001,12379313,08:29:25
12.912525,77.625633,12379434,08:29:45
12.912173,77.625854,12379544,08:29:55
12.911294,77.626373,12379655,08:34:53
12.910172,77.627022,12379756,08:35:13
12.909483,77.62741899999999,12379883,08:35:23
12.908064,77.628288,12380022,08:35:43
12.907474,77.628639,12380139,08:35:53
12.906286999999999,77.629387,12380258,08:36:13
12.905545,77.629837,12380366,08:36:24
12.904661,77.630379,12380476,08:36:34
12.903638,77.631004,12380603,08:36:44
12.902477000000001,77.631714,12380749,08:36:54
12.901231,77.63247700000001,12380908,08:37:04
12.89993,77.63329300000001,12381076,08:37:14
12.898612,77.634102,12381246,08:37:24
12.897304,77.634918,12381416,08:37:34
12.896025999999999,77.635712,12381582,08:37:43
12.8948,77.636459,12381742,08:37:53
12.893647999999999,77.63716099999999,12381892,08:38:03
12.892565,77.637825,12382033,08:38:13
12.891544,77.638451,12382165,08:38:23
12.890578999999999,77.63903,12382291,08:38:33
12.889667,77.639595,12382409,08:38:43
12.888757,77.640152,12382525,08:38:53
12.887886,77.640686,12382648,08:39:03
12.886804,77.64135,12382785,08:39:13
12.885569,77.642105,12382942,08:39:23
12.884258,77.64292900000001,12383111,08:39:33
12.882925,77.643753,12383283,08:39:43
12.881611999999999,77.644547,12383452,08:39:53
12.880313000000001,77.64534,12383620,08:40:03
12.879081,77.646103,12383795,08:40:13
12.877966,77.64679,12383939,08:40:22
12.877009,77.6474,12384063,08:40:32
12.876227,77.648003,12384171,08:40:42
12.874937,77.649147,12384277,08:41:02
12.874350999999999,77.64967299999999,12384409,08:41:12
12.873008,77.650856,12384545,08:41:32
12.872119999999999,77.651573,12384651,08:41:42
12.871058,77.652405,12384777,08:41:52
12.869914999999999,77.653313,12384927,08:42:02
12.868765,77.654228,12385087,08:42:12
12.867741,77.655045,12385248,08:42:22
12.866586999999999,77.655968,12385407,08:42:32
12.865385,77.656914,12385586,08:42:41
12.864111,77.657928,12385756,08:42:51
12.863286,77.65857700000001,12385939,08:42:57
12.862706,77.659042,12386058,08:43:01
12.861141,77.660278,12386275,08:43:11
12.859517,77.661575,12386503,08:43:21
12.857941,77.662819,12386725,08:43:31
12.856442999999999,77.664017,12386957,08:43:42
12.855046000000002,77.665123,12387152,08:43:52
12.853645,77.666229,12387348,08:44:02
12.852235,77.667351,12387545,08:44:12
12.850856,77.66843399999999,12387738,08:44:22
12.84958,77.66945600000001,12387917,08:44:32
12.848389,77.67038000000001,12388082,08:44:42
12.847239,77.67083000000001,12388223,08:44:52
12.84655,77.66971600000001,12388366,08:45:02
12.845964,77.668518,12388511,08:45:12
12.845546,77.667465,12388628,08:45:31
12.845386,77.666306,12388761,08:46:31
12.845382,77.665024,12388867,08:47:51
12.845417999999999,77.66372700000001,12388970,08:48:30
12.84543,77.663116,12389073,08:48:40
12.845403999999998,77.662033,12389185,08:50:05
12.845307,77.660957,12389308,08:51:35
12.845049000000001,77.66023299999999,12389413,08:51:55
12.844198,77.660248,12389513,08:52:15
12.843003,77.660332,12389644,08:52:35
12.841606,77.660271,12389766,08:53:04
12.84092,77.660095,12389877,08:53:14
12.839663999999999,77.65978199999999,12390003,08:53:44
12.839012,77.658989,12390106,08:54:04
12.838386,77.658722,12390207,08:54:34
